session_duration,page_navigation_rate,input_field_activity,mouse_click_frequency,suspicious_input_patterns,form_submission_rate,csrf_token_presence,unusual_headers,client_error_rate,failed_login_attempts,unusual_sql_queries,response_time,server_error_rate,request_rate,unusual_http_methods,ip_reputation_score,brute_force_signatures,suspicious_file_uploads,is_attack
30,9,2,5,1,7,0,1,8,6,1,2239,8,468,1,31,1,1,1
512,4,28,33,0,2,1,0,0,0,0,334,0,26,0,85,0,0,0
59,4,28,34,0,0,1,0,2,1,0,689,0,44,0,80,0,0,0
194,1,33,33,0,0,1,0,1,0,0,245,1,31,0,87,0,0,0
188,2,15,41,0,2,1,0,1,0,0,565,0,35,0,94,0,0,0
182,1,37,28,0,1,1,0,0,0,0,748,0,38,0,75,0,0,0
30,11,4,5,1,8,0,1,10,8,1,1629,9,378,1,32,1,1,1
138,5,33,11,0,2,1,0,3,1,0,498,0,26,0,96,0,0,0
582,2,39,21,0,0,1,0,4,0,0,624,0,31,0,82,0,0,0
208,1,10,17,0,2,1,0,3,1,0,158,1,16,0,77,0,0,0
32,8,4,5,1,9,0,1,6,5,1,827,11,113,1,30,1,1,1
224,5,20,12,0,2,1,0,3,1,0,155,0,42,0,95,0,0,0
573,1,38,25,0,0,1,0,4,0,0,424,0,30,0,70,0,0,0
450,4,25,26,0,0,1,0,0,0,0,259,0,19,0,81,0,0,0
46,11,0,1,1,9,0,1,7,8,1,2332,6,340,1,42,1,1,1
25,14,4,1,1,9,0,1,10,3,1,2308,10,143,1,14,1,1,1
92,1,26,26,0,0,1,0,2,0,0,116,1,43,0,85,0,0,0
234,3,17,23,0,2,1,0,0,1,0,133,0,17,0,87,0,0,0
167,1,22,38,0,1,1,0,0,0,0,435,0,45,0,88,0,0,0
111,2,7,16,0,0,1,0,2,1,0,558,1,29,0,98,0,0,0
580,1,39,32,0,0,1,0,3,0,0,376,0,47,0,81,0,0,0
143,4,25,33,0,1,1,0,3,0,0,513,1,37,0,75,0,0,0
547,4,34,16,0,2,1,0,2,0,0,703,0,39,0,90,0,0,0
480,2,22,49,0,2,1,0,3,0,0,492,0,15,0,72,0,0,0
380,3,31,43,0,0,1,0,2,0,0,155,0,17,0,81,0,0,0
335,2,6,35,0,2,1,0,1,0,0,402,0,36,0,99,0,0,0
6,11,0,6,1,5,0,1,14,8,1,1417,14,286,1,9,1,1,1
456,3,18,26,0,2,1,0,0,0,0,780,0,35,0,86,0,0,0
5,12,3,3,1,6,0,1,10,7,1,2313,13,438,1,25,1,1,1
454,1,30,13,0,0,1,0,1,1,0,539,1,18,0,86,0,0,0
447,4,31,32,0,0,1,0,0,1,0,541,1,14,0,77,0,0,0
251,3,32,19,0,2,1,0,0,0,0,484,0,48,0,72,0,0,0
540,2,39,28,0,1,1,0,4,1,0,141,0,35,0,94,0,0,0
46,8,4,6,1,4,0,1,5,5,1,1603,6,460,1,30,1,1,1
306,5,24,25,0,0,1,0,4,1,0,607,1,20,0,74,0,0,0
553,3,7,23,0,1,1,0,2,1,0,116,0,18,0,96,0,0,0
458,5,14,37,0,1,1,0,2,0,0,673,0,21,0,74,0,0,0
160,4,27,7,0,2,1,0,3,0,0,523,1,22,0,78,0,0,0
18,9,3,4,1,4,0,1,12,6,1,2046,6,364,1,14,1,1,1
400,3,20,36,0,0,1,0,0,0,0,281,1,19,0,76,0,0,0
230,1,15,48,0,1,1,0,3,1,0,568,0,29,0,86,0,0,0
171,3,9,39,0,1,1,0,0,0,0,462,1,27,0,98,0,0,0
26,12,0,0,1,7,0,1,13,4,1,1643,11,447,1,15,1,1,1
536,4,28,30,0,0,1,0,1,0,0,362,0,10,0,84,0,0,0
253,4,33,44,0,0,1,0,0,1,0,280,1,37,0,70,0,0,0
35,10,0,8,1,7,0,1,12,7,1,1551,11,168,1,45,1,1,1
225,3,32,18,0,0,1,0,2,1,0,381,1,23,0,89,0,0,0
27,9,4,0,1,3,0,1,7,7,1,2494,8,497,1,7,1,1,1
35,14,0,9,1,9,0,1,7,8,1,2383,13,429,1,18,1,1,1
11,12,4,0,1,7,0,1,11,6,1,1516,13,405,1,3,1,1,1
12,8,0,0,1,5,0,1,10,3,1,1034,5,151,1,33,1,1,1
161,4,36,32,0,1,1,0,0,0,0,537,0,19,0,71,0,0,0
460,3,17,19,0,2,1,0,3,1,0,443,0,20,0,79,0,0,0
9,12,1,2,1,3,0,1,10,4,1,1255,6,268,1,47,1,1,1
